Temperature (C),Pressure (bar),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
-0.43956,34.448,2.188,0.45704,17.4,18.975,81.319,38.255,81.174,212.29,1.4293,14.516,0.020245,vapor
-0.2953,34.58,2.198,0.45495,17.398,18.971,81.284,38.298,81.464,212.21,1.4271,14.531,0.020296,vapor
-0.15104,34.712,2.2081,0.45287,17.395,18.967,81.248,38.341,81.758,212.13,1.425,14.546,0.020347,vapor
-0.0067733,34.845,2.2183,0.4508,17.393,18.964,81.213,38.383,82.054,212.04,1.4228,14.56,0.020398,vapor
0.13749,34.978,2.2285,0.44874,17.39,18.96,81.177,38.426,82.352,211.96,1.4206,14.575,0.02045,vapor
0.28175,35.112,2.2387,0.44668,17.388,18.956,81.142,38.469,82.654,211.88,1.4184,14.59,0.020502,vapor
0.42602,35.246,2.249,0.44464,17.385,18.952,81.106,38.513,82.958,211.8,1.4163,14.605,0.020555,vapor
0.57028,35.38,2.2594,0.4426,17.383,18.949,81.07,38.556,83.265,211.71,1.4141,14.62,0.020608,vapor
0.71454,35.515,2.2698,0.44057,17.38,18.945,81.035,38.6,83.575,211.63,1.4119,14.636,0.020661,vapor
0.85881,35.65,2.2802,0.43855,17.377,18.941,80.999,38.644,83.888,211.55,1.4097,14.651,0.020715,vapor
1.0031,35.786,2.2907,0.43654,17.375,18.937,80.963,38.687,84.204,211.46,1.4075,14.666,0.020769,vapor
1.1473,35.922,2.3013,0.43454,17.372,18.933,80.927,38.732,84.523,211.38,1.4054,14.681,0.020823,vapor
1.2916,36.058,2.3119,0.43254,17.369,18.929,80.891,38.776,84.846,211.29,1.4032,14.697,0.020878,vapor
1.4359,36.195,2.3226,0.43056,17.367,18.925,80.855,38.82,85.171,211.21,1.401,14.712,0.020934,vapor
1.5801,36.332,2.3333,0.42858,17.364,18.921,80.818,38.865,85.499,211.12,1.3988,14.728,0.020989,vapor
1.7244,36.469,2.3441,0.42661,17.361,18.917,80.782,38.91,85.831,211.03,1.3966,14.744,0.021046,vapor
1.8687,36.607,2.3549,0.42465,17.358,18.913,80.746,38.954,86.166,210.95,1.3945,14.759,0.021102,vapor
2.0129,36.745,2.3658,0.42269,17.355,18.909,80.709,39,86.505,210.86,1.3923,14.775,0.021159,vapor
2.1572,36.884,2.3767,0.42075,17.352,18.904,80.673,39.045,86.846,210.77,1.3901,14.791,0.021216,vapor
2.3014,37.023,2.3877,0.41881,17.35,18.9,80.636,39.09,87.191,210.69,1.3879,14.807,0.021274,vapor
2.4457,37.162,2.3988,0.41688,17.347,18.896,80.599,39.136,87.54,210.6,1.3857,14.823,0.021333,vapor
2.59,37.302,2.4099,0.41496,17.344,18.892,80.563,39.182,87.892,210.51,1.3836,14.839,0.021391,vapor
2.7342,37.442,2.4211,0.41304,17.341,18.887,80.526,39.228,88.248,210.42,1.3814,14.856,0.021451,vapor
